ΕΡΩΤΗΣΕΙΣ ΣΩΣΤΟΥ-ΛΑΘΟΥΣ
1. Σ
2. Λ
3. Σ
4. Λ
5. Σ
6. Σ
7. Λ
8. Λ
9. Σ
10. Λ
11. Σ
12. Λ
13. Σ
14. Σ
15. Λ
16. Λ
17. Σ
18. Λ
19. Σ
20. Λ
21. Σ
22. Σ
23. Λ
24. Σ
25. Σ
26. Λ
27. Λ
28. Σ
29. Σ
30. Σ
31. Σ
32. Σ
33. Σ
34. Λ
35. Λ
36. Σ
37. Λ
38. Λ
39. Σ
40. Σ
41. Λ
42. Σ
43. Λ
44. Λ
45. Λ
46. Σ
47. Λ
48. Λ
48. Σ
50. Λ
51. Σ
52. Σ
53. Λ
54. Σ
55. Σ
56. Σ
57. Σ
58. Σ
59. Λ
60. Σ
61. Σ
62. Λ
63. Σ
64. Σ
65. Λ
66. Λ
67. Λ
68. Λ
69. Λ
70. Σ
71. Λ
72. Λ
73. Σ
74. Σ

ΑΚΟΛΟΥΘΙΑΣ
1. Λ
2. Λ
3. Σ
4. Λ
5. Λ
6. Λ
7. Σ
8. Λ
9. Λ
10. Σ
11. Σ
12. Σ

ΕΠΙΛΟΓΗΣ
1. Σ
2. Σ
3. Σ
4. Λ
5. Λ
6. Σ
7. Σ
8. Λ
9. Σ
10. Σ
11. Σ
12. Σ
13. Λ
14. Λ
15. Σ
16. Σ
17. Σ
18. Λ
19. Λ
20. Σ
21. Λ
22. Λ
23. Σ
24. Σ
25. Σ
26. Σ
27. Σ
28. Σ
29. Σ
30. Σ
31. Λ
32. Λ
33. Σ
34. Λ
35. Σ

ΕΠΑΝΑΛΗΨΗΣ
1. Σ
2. Λ
3. Λ
4. Λ
5. Σ
6. Σ
7. Σ
8. Σ
9. Λ
10. Λ
11. Λ
12. Λ
13. Λ
14. Σ
15. Σ
16. Σ
17. Λ
18. Λ
19. Σ (εκτός εάν δεν ξέρουμε πόσες επαναλήψεις)
20. Λ
21. Λ
22. Λ
23. Λ
24. Σ
25. Σ (αν η συνθήκη της while είναι αληθής)
26. Λ
27. Σ
28. Λ
29. Σ
30. Λ
31. 
32. Σ
33. Σ
34. Σ
35. Σ
36. Λ
37. Σ
38. Σ
39. Λ
40. 
